epoch,dice_coef,iou,loss,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.10829555,0.05789528,0.09364943738274326,0.39727426,0.31968853,0.12483837,0.06658369,0.03742987848818302,0.90862244,0.20745099
1,0.29146013,0.17246099,0.022482190261878664,0.85466063,0.3219438,0.3575974,0.21805263,0.015574205666780472,0.8700311,0.39482352
2,0.49184665,0.3283709,0.011373944739373216,0.88085115,0.3463868,0.5682269,0.39800608,0.008569680619984865,0.8464232,0.5308235
3,0.6337319,0.46561953,0.007537540561050818,0.91314197,0.35843098,0.6531724,0.48777404,0.006365853827446699,0.90026736,0.5281569
4,0.7182634,0.56187403,0.00584665993101346,0.937022,0.36541337,0.7428876,0.5922718,0.005678270943462849,0.8347357,0.60690194
5,0.76749045,0.6241083,0.0049742058697017835,0.9493192,0.37013295,0.7569386,0.6103436,0.0049254815094172955,0.8748118,0.5924706
6,0.7965248,0.6633093,0.004481803798517644,0.95685506,0.37355062,0.79851586,0.6664279,0.004344676272012293,0.85194695,0.6246275
7,0.81195474,0.6849933,0.004241672231752537,0.96166015,0.37504774,0.78912294,0.6566867,0.004302360117435455,0.920977,0.5530196
8,0.8274446,0.70704865,0.003953050711579214,0.96693414,0.3773513,0.76767385,0.624418,0.006045987131074071,0.8149543,0.59411764
9,0.83163565,0.7132887,0.003878977105780104,0.9672797,0.37769002,0.77251697,0.62940896,0.006423215847462416,0.8088668,0.6253333
10,0.8406788,0.72655576,0.0037032090322521596,0.97127706,0.3793,0.84265524,0.72864354,0.003519547055475414,0.92241275,0.6116863
11,0.8465407,0.735195,0.00357891987648404,0.97359097,0.38029894,0.83365774,0.7157904,0.003578349598683417,0.9334882,0.59882355
12,0.8498791,0.74014425,0.003491652232250939,0.9743963,0.3809589,0.80566555,0.6765039,0.004579776432365179,0.8946984,0.5757647
13,0.8554343,0.74838847,0.003364408953367449,0.9767801,0.38205528,0.8373193,0.72222686,0.0038787557277828455,0.9424157,0.57890195
14,0.85692126,0.7505722,0.0033251331176220237,0.9771465,0.3821643,0.7595879,0.6127998,0.00589923351071775,0.93992156,0.46996078
15,0.86011106,0.7552984,0.003253300902753643,0.9779306,0.38276452,0.8474821,0.73563063,0.003731301985681057,0.92375845,0.6214902
16,0.86438423,0.76176083,0.003158754732059654,0.97937405,0.38367295,0.78783333,0.65130174,0.005806350847706199,0.8272826,0.5969412
17,0.86689615,0.7655252,0.003114230326177947,0.9803891,0.38429454,0.85734475,0.7508188,0.00313281558919698,0.93945545,0.6170196
18,0.86713505,0.7658539,0.003106280314598837,0.98036546,0.38427037,0.8788307,0.7839488,0.0024715932086110115,0.9486612,0.63913727
19,0.8734209,0.7755682,0.002978945068092955,0.983292,0.38558257,0.87774956,0.78221226,0.0026208708295598626,0.948101,0.63043135
20,0.86844033,0.7679501,0.0030844585397797296,0.9805057,0.38455755,0.763049,0.6192416,0.007701162481680512,0.7666832,0.60643137
21,0.8747172,0.7776303,0.002949490883412296,0.98337436,0.38580334,0.86671025,0.76502436,0.0030772394966334105,0.9342412,0.62956864
22,0.8734398,0.775551,0.0029795617983053553,0.98260003,0.38556933,0.7927244,0.6597748,0.006229215068742633,0.7900986,0.6158431
23,0.87732184,0.78168696,0.002897389428744043,0.98418313,0.38629133,0.85943985,0.7538501,0.003108348115347326,0.91719896,0.619451
24,0.87419957,0.7767627,0.0029595362856893164,0.9826558,0.38572776,0.85850084,0.7520985,0.0034924851497635245,0.9298124,0.6296471
25,0.8794003,0.78489256,0.0028541021027628467,0.98504406,0.38669816,0.85243595,0.74393725,0.004247910808771849,0.9461957,0.58619606
26,0.88118345,0.7877383,0.002819699006670136,0.9859047,0.38698652,0.850408,0.7411703,0.003909382387064397,0.942625,0.591451
27,0.87963593,0.7852804,0.0028499087530021736,0.9852177,0.38667902,0.8674463,0.76648855,0.003445648238994181,0.949333,0.6083922
28,0.8786194,0.78368086,0.0028701632063710962,0.984377,0.3865299,0.822536,0.6987951,0.005160149652510881,0.87175417,0.6029804
29,0.8809563,0.7873602,0.0028222365450732323,0.9855403,0.38701883,0.8721893,0.7733524,0.003143485519103706,0.9378781,0.6323137
30,0.88422906,0.79258233,0.0027531317956761042,0.9870324,0.38767138,0.86747646,0.76597553,0.0032942157704383135,0.93625027,0.6243137
31,0.884503,0.79303414,0.0027464991546234437,0.98710865,0.387661,0.84370315,0.73095685,0.005414365325123072,0.9328386,0.5817255
32,0.88365984,0.79175836,0.0027675584267203494,0.9865244,0.38754955,0.8189951,0.69532895,0.005161833018064499,0.94310063,0.5381961
33,0.88034976,0.78642505,0.0028345835460110917,0.98524934,0.38684055,0.8373884,0.7207329,0.004323679720982909,0.8982972,0.6040784
34,0.88557595,0.79473764,0.0027233600910962713,0.9875888,0.38792634,0.79327786,0.657922,0.0062353352550417185,0.8888339,0.56313723
35,0.88858646,0.79959273,0.002660021994325382,0.98889136,0.38852164,0.8381846,0.7214457,0.004642303101718426,0.9211573,0.5992941
36,0.8894152,0.8009417,0.0026433775933854134,0.98922616,0.3886529,0.6950845,0.53378445,0.014401877764612436,0.8753291,0.4432941
37,0.8885845,0.79959995,0.002659813118543451,0.9888375,0.3884995,0.8346164,0.7163743,0.005047671846114099,0.91433316,0.6043922
38,0.8866191,0.79643106,0.0026998751751873456,0.9880162,0.3881622,0.8766836,0.7804944,0.002818565466441214,0.9559482,0.6195294
