epoch,dice_coef,iou,loss,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.07442911,0.03878427,0.12578885014667068,0.41856778,0.29891586,0.011888604,0.005979848,0.06503583490848541,0.0,0.0
1,0.13444701,0.0722359,0.05217612243452391,0.7861235,0.30009538,0.18441135,0.10157112,0.03581439331173897,0.88655347,0.52438635
2,0.20532952,0.11465109,0.03433926594660206,0.82454467,0.33603173,0.25702778,0.1474652,0.0248821210116148,0.89098394,0.5347466
3,0.27695012,0.16104601,0.024757367878242634,0.844952,0.34775883,0.31580618,0.18751174,0.0197311881929636,0.89543176,0.54048455
4,0.34702075,0.21034336,0.01891279998127111,0.8618883,0.35328054,0.13167812,0.07047938,0.0268887747079134,0.98275864,0.086308576
5,0.4134163,0.26103586,0.015102362758371719,0.87502116,0.35740346,0.42748964,0.27185175,0.012864531949162483,0.9505249,0.52669746
6,0.47113764,0.30871338,0.01257584108375446,0.8840577,0.35978916,0.44551334,0.2865984,0.012991275638341904,0.9470169,0.5085273
7,0.52377266,0.35540086,0.010734857788287797,0.8920078,0.36261344,0.5124344,0.3444786,0.01102653332054615,0.95680964,0.5066943
8,0.5685566,0.39786503,0.00940872645032657,0.8982009,0.36530986,0.6106922,0.4395657,0.0075339674949646,0.8653015,0.60615236
9,0.6017816,0.43119422,0.008538959527572314,0.90008515,0.36474282,0.59726626,0.42578748,0.007671800907701254,0.95229495,0.50430346
10,0.6357551,0.46680388,0.007732117180387641,0.9069803,0.36704382,0.66587067,0.4991049,0.007101281546056271,0.82828176,0.61850494
11,0.6592513,0.49254015,0.007226380516861587,0.9087695,0.3671179,0.64379245,0.4747008,0.007129840087145567,0.8103145,0.5872649
12,0.6823695,0.5187466,0.0067416504593999236,0.91324925,0.36834142,0.7209672,0.56368166,0.006182278040796518,0.8358479,0.66225696
13,0.7031274,0.5430386,0.006329766940325499,0.91933113,0.369193,0.74874544,0.5983956,0.004805556498467922,0.91741365,0.61173093
14,0.71916777,0.5624424,0.006039753462848535,0.9244376,0.36921448,0.6870796,0.52332157,0.006426404230296612,0.823262,0.5917278
15,0.73561215,0.58268815,0.005736180638006434,0.9315676,0.37051228,0.76743305,0.6226298,0.004346843808889389,0.9398873,0.5981033
16,0.75214297,0.6036511,0.005438879289296131,0.93861514,0.3725576,0.76727086,0.6224165,0.004727805498987436,0.87498605,0.6258368
17,0.7675307,0.62360847,0.005159939715075631,0.94478005,0.37455064,0.79743665,0.6631139,0.004028657451272011,0.8965633,0.6403411
18,0.7813968,0.64201856,0.004902741893432861,0.9509814,0.37670305,0.6537866,0.48564848,0.012391920201480389,0.95867616,0.408591
19,0.79150915,0.65580255,0.004727528532046478,0.9544236,0.377569,0.7483914,0.5979437,0.007776308339089155,0.9484212,0.5290086
20,0.79972273,0.6673091,0.004587399002386604,0.95647943,0.37857452,0.72819906,0.5725728,0.007176334969699383,0.96188515,0.48469874
21,0.81315446,0.6859293,0.0043238276076979585,0.9631163,0.3809995,0.8014333,0.66866016,0.005485908593982458,0.9280507,0.6188237
22,0.82216173,0.6988068,0.004152336645855157,0.965682,0.38207188,0.7577351,0.6099624,0.006508859805762768,0.9694343,0.5080491
23,0.82936436,0.70923144,0.004013275861642648,0.967931,0.38339046,0.81311923,0.6850889,0.0040846699848771095,0.9510553,0.58535224
24,0.8374812,0.7210314,0.0038540837663594025,0.97077644,0.38481265,0.8480832,0.73623616,0.002965520601719618,0.9243622,0.65253425
25,0.84346014,0.72983503,0.003733791936145619,0.9725839,0.38586628,0.81877357,0.6931552,0.004573414567857981,0.95167905,0.5917278
26,0.84730494,0.73569745,0.0036542500899888054,0.97299665,0.38655007,0.7985081,0.6645967,0.0043659452348947525,0.8987884,0.58527255
