epoch,dice_coef,iou,loss,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.51963776,0.35740536,0.013428470175334275,0.6369666,0.27853206,0.30060685,0.17702681,0.019425195641815662,0.82475764,0.08814154
1,0.6160437,0.44789976,0.008262546654170661,0.7986174,0.3248299,0.080541186,0.041963734,0.03258324321359396,0.32,0.013388588
2,0.64337754,0.47688687,0.007736595754638899,0.8168645,0.3353817,0.5578761,0.3872879,0.008661338360980153,0.9045464,0.3504144
3,0.6616692,0.49685594,0.007379360444543255,0.8308812,0.3410977,0.43990755,0.28228897,0.010321102570742369,0.96070236,0.27470514
4,0.67727774,0.51441294,0.007072791497447788,0.8435716,0.34540528,0.6540961,0.48620987,0.008903600741177797,0.70641077,0.68935287
5,0.6921109,0.53173196,0.0068028681074962195,0.8573035,0.3485999,0.5933131,0.42190468,0.008248448371887207,0.8742824,0.4854957
6,0.7143318,0.55802125,0.006391859524016983,0.8780979,0.35489684,0.7050854,0.54450476,0.0057482486590743065,0.8503583,0.6335671
7,0.7260609,0.5724477,0.006174530319566297,0.8870666,0.35871857,0.0028069983,0.001405519,0.04960542730987072,0.0,0.0
8,0.73673904,0.5856665,0.0059803467978950765,0.8969277,0.36146235,0.5587688,0.39201385,0.01151429582387209,0.839143,0.418234
9,0.7454661,0.59656036,0.00580919026343022,0.90437454,0.36398375,0.7058426,0.5471586,0.006159372860565782,0.8701204,0.5702104
10,0.7526364,0.60572565,0.005667533770171102,0.9096309,0.3652101,0.45682305,0.29724747,0.018315740395337343,0.7726208,0.28920943
11,0.76054835,0.6158901,0.005524549894522182,0.91783154,0.36699364,0.6937988,0.5314033,0.008537441492080688,0.76841223,0.6560408
12,0.7674177,0.62488216,0.0053905879613012075,0.92408556,0.3677861,0.2453233,0.1516607,0.027638250030577183,0.8649789,0.114360854
13,0.7758318,0.636039,0.005230135696555682,0.93268627,0.36978784,0.21011691,0.12041086,0.02357557602226734,0.8618071,0.09045266
14,0.7874756,0.651698,0.005012407724618327,0.9411061,0.3728589,0.07659682,0.040918782,0.03759726509451866,0.9650924,0.03745617
15,0.79240096,0.6582908,0.004911411751256606,0.945552,0.373665,0.5322503,0.3626703,0.01413020957261324,0.91391075,0.41624165
16,0.79699266,0.6646386,0.004824697635634694,0.9474205,0.37483412,0.7153046,0.55679643,0.0053176903165876865,0.92070484,0.58296144
17,0.8049484,0.67562973,0.004675457244914913,0.9522732,0.37672746,0.6917963,0.5310103,0.007133624283596873,0.90034866,0.49394324
18,0.81124717,0.6844846,0.004541140144452626,0.9562947,0.3782157,0.761091,0.61432767,0.00471511110663414,0.9281775,0.61691105
19,0.8140508,0.6884508,0.004492200105275071,0.95749277,0.37828225,0.7489969,0.5987171,0.004833713173866272,0.92825484,0.534109
20,0.81969506,0.69650537,0.004358814501671965,0.95998055,0.37978962,0.7036706,0.543463,0.006195421330630779,0.9361527,0.5433535
21,0.82583815,0.70537287,0.004234550433466211,0.9632248,0.38109446,0.71363616,0.5552436,0.006573246791958809,0.9422658,0.48254701
22,0.82661825,0.7065011,0.004202530272968308,0.96270335,0.38079378,0.7368387,0.583462,0.006337211700156331,0.9501377,0.49505898
23,0.836647,0.7210787,0.0039529478519905875,0.9680983,0.38308936,0.6900384,0.5267677,0.007615766488015652,0.93973213,0.43616512
24,0.83625376,0.7204815,0.003954002377171026,0.96756154,0.38273388,0.5009825,0.33703163,0.013235120102763176,0.9817708,0.24035703
25,0.84292364,0.73033303,0.003786266393225835,0.970713,0.38402405,0.5729696,0.40168357,0.012594548985362053,0.9712991,0.30745935
26,0.8515783,0.74320024,0.003587978000300503,0.9750252,0.3857074,0.5694221,0.39889294,0.01254029804840684,0.98329157,0.28139943
27,0.8510256,0.7423263,0.0035893069766326485,0.97371095,0.38554475,0.4915254,0.32598203,0.01963615696877241,0.97722834,0.2394007
28,0.85005677,0.74083173,0.0035914074565922883,0.9732918,0.38515878,0.6695314,0.50389034,0.01165978517383337,0.96342194,0.38412496
29,0.8545225,0.7475488,0.003493599238978742,0.9754906,0.38579983,0.78138125,0.6412281,0.004022156237624586,0.9588627,0.6074275
30,0.85856014,0.75357133,0.0034021371104118285,0.9770935,0.38674688,0.4034376,0.25348133,0.0159503985196352,0.96291614,0.18210073
31,0.85620576,0.7502645,0.0034829574509531933,0.9755396,0.38660404,0.7561314,0.60795,0.005342817399650812,0.9074514,0.5172936
32,0.8641722,0.76187044,0.0032610062898615873,0.9787175,0.38803944,0.7497189,0.60165334,0.007259146776050329,0.9723108,0.4617469
33,0.8640291,0.76146257,0.0032723116044423455,0.9774723,0.38827294,0.036620434,0.01866328,0.03341801185160875,0.0,0.0
34,0.8672694,0.76666826,0.003196034845787772,0.97968364,0.3890702,0.7543576,0.6056058,0.007456875406205654,0.95860773,0.48724896
35,0.87209487,0.77381176,0.0030921197277737436,0.9812301,0.38997725,0.8526791,0.7432207,0.0031356702093034983,0.9610291,0.6072681
36,0.86916804,0.7691998,0.00315833702357892,0.97903556,0.38954684,0.75742906,0.6118923,0.006170682609081268,0.9112426,0.49091488
