epoch,dice_coef,iou,loss,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.075454466,0.039382756,0.15606215741971266,0.28477526,0.38439816,0.013561901,0.006827246,0.10502009093761444,0.0,0.0
1,0.13109505,0.07022908,0.06524158586626468,0.5648067,0.3286833,0.061050344,0.031486288,0.05624295398592949,0.34671608,0.13420466
2,0.1716411,0.093986355,0.04768983958208042,0.6440464,0.32646412,0.23181391,0.13110267,0.03595660999417305,0.6528642,0.5767453
3,0.21349324,0.119653255,0.037496426855416404,0.6833115,0.33977172,0.30766818,0.18180138,0.024329548701643944,0.9059353,0.6094198
4,0.26739213,0.1545305,0.027453486710462882,0.88852227,0.3485299,0.32924008,0.19706003,0.020677970722317696,0.94313097,0.58814156
5,0.31468722,0.18698698,0.02245255047050507,0.89560246,0.35486132,0.3718098,0.2283578,0.01771693117916584,0.9118108,0.60232705
6,0.3601922,0.21996088,0.018832314589425275,0.8994213,0.35886684,0.38948032,0.2418352,0.01552571915090084,0.9647898,0.51753265
7,0.4073809,0.2561412,0.015974713416527148,0.90861225,0.36415458,0.4579925,0.29701042,0.01272592507302761,0.9341673,0.58917755
8,0.4483944,0.28938758,0.01391664671347193,0.9126678,0.36493877,0.4866513,0.32157236,0.011343122459948063,0.9096592,0.59140897
9,0.48920345,0.3242744,0.012199840965964224,0.91785365,0.36776274,0.5385138,0.36846992,0.009546631015837193,0.9410467,0.6118903
10,0.5284974,0.35965955,0.010795233771204948,0.9259243,0.36976132,0.54423934,0.37385216,0.009653959423303604,0.94197595,0.57443416
11,0.56171334,0.39109966,0.009754502287377481,0.931375,0.37046,0.5799136,0.408365,0.008480524644255638,0.9521875,0.5602487
12,0.5994235,0.428548,0.00869245866475546,0.9422627,0.37359384,0.64396816,0.4748917,0.00773638254031539,0.8492442,0.66711825
13,0.6299706,0.46040493,0.007921333497633104,0.94888765,0.37486932,0.6557442,0.487812,0.006692980881780386,0.9128284,0.6175486
14,0.65807927,0.49092054,0.007249716638951846,0.9545839,0.37672916,0.6757457,0.5102839,0.006104579195380211,0.93598574,0.6280682
15,0.68495435,0.52136064,0.006655422314677549,0.96053576,0.37872133,0.71130496,0.55195767,0.005518608260899782,0.9109989,0.646876
16,0.7070718,0.5474487,0.006184985316560968,0.9631212,0.37987566,0.7087432,0.5488788,0.005320135038346052,0.9391392,0.5964297
17,0.7289272,0.5739906,0.005741497542223205,0.9671326,0.38167912,0.72873735,0.57323885,0.0062021841295063496,0.8429559,0.66090214
18,0.7461934,0.5956876,0.005412017244278737,0.96926016,0.38257787,0.7574229,0.60955817,0.004752202890813351,0.91524845,0.6428913
19,0.7651302,0.620064,0.0050368022153396965,0.9728655,0.384318,0.7835177,0.64408505,0.004074262920767069,0.9247459,0.6453618
20,0.77989775,0.63956475,0.0047468206926208475,0.9742423,0.38533768,0.7948751,0.659579,0.004156435374170542,0.9119365,0.65938795
21,0.794702,0.6596511,0.004466571358194494,0.97726625,0.38689423,0.8218352,0.69755524,0.0031909733079373837,0.95499825,0.6494262
22,0.80020833,0.66729045,0.004376704818771585,0.975479,0.38668367,0.79450774,0.6590732,0.003961274866014719,0.9622892,0.57754225
23,0.816029,0.6894426,0.004057450116733494,0.97987247,0.38868362,0.83676225,0.71933866,0.0031002305913716555,0.9491289,0.6512592
24,0.82041067,0.6957145,0.003996144539838576,0.97772014,0.38837782,0.8236009,0.70010364,0.003417578060179949,0.9320286,0.63380617
25,0.82534236,0.7029423,0.003936388384064902,0.9771479,0.38811448,0.8444283,0.73074514,0.0028007347136735916,0.9542188,0.6561205
26,0.8360748,0.7184919,0.0037162647845790436,0.9802329,0.3896902,0.8589595,0.7527862,0.0026346712838858366,0.95011467,0.6602646
27,0.84265274,0.72825444,0.003587156698188704,0.98184514,0.3905528,0.84555066,0.73242754,0.003155869897454977,0.94763654,0.6374721
28,0.8485541,0.73709977,0.003467095997589438,0.98245656,0.39129966,0.8645881,0.7614754,0.0025477460585534573,0.96900547,0.6328499
29,0.8542032,0.74564004,0.003358603740596901,0.98313457,0.39188612,0.87618506,0.7796517,0.00226965150795877,0.97201604,0.6366752
30,0.84823745,0.7367708,0.003523174375700562,0.9771135,0.38950387,0.8330534,0.71387434,0.0035068041179329157,0.9588119,0.57881737
31,0.8420251,0.72769713,0.0037026351257024898,0.97405225,0.38699555,0.87342894,0.7752984,0.002409348264336586,0.9558414,0.6572362
32,0.8640033,0.76068527,0.003199447849360497,0.98410374,0.39199585,0.8858838,0.7951444,0.0021033864468336105,0.96133304,0.6597864
33,0.8673856,0.76591325,0.003134701660145884,0.9844148,0.39250597,0.88535184,0.7942878,0.0021901163272559643,0.9546648,0.66624165
34,0.8661221,0.7639399,0.0031652076048371584,0.98300093,0.39225563,0.88892496,0.80005866,0.0020566247403621674,0.96797067,0.6526936
35,0.8715966,0.7724936,0.0030441622138428297,0.9847008,0.39310688,0.89542013,0.81064355,0.001953016733750701,0.97029704,0.6482308
36,0.8756791,0.77891713,0.0029621676987280016,0.9857143,0.39357513,0.89373225,0.80788046,0.0020426337141543627,0.9680622,0.6449633
37,0.8774465,0.7817064,0.002932665591209155,0.9858824,0.39374888,0.891886,0.80486816,0.0021144442725926638,0.9741983,0.6318935
38,0.8783318,0.78312165,0.002926968177780509,0.9858275,0.39368767,0.8858296,0.79505754,0.0023740925826132298,0.9672051,0.6299012
39,0.8649639,0.7623702,0.003245946710281398,0.9766838,0.39028335,0.8556775,0.74775875,0.0030258020851761103,0.9195114,0.6418553
40,0.8639388,0.7608128,0.0032657643638389264,0.97705024,0.38950336,0.886688,0.7964417,0.002328511793166399,0.9558069,0.6532515
41,0.8804936,0.7865561,0.002890479240728461,0.9856501,0.39354578,0.9004953,0.8190005,0.0020113957580178976,0.9668732,0.6466369
42,0.88206476,0.7890612,0.002862275413075543,0.98585415,0.39368138,0.90339994,0.8238189,0.0019146653357893229,0.963261,0.6581925
43,0.8837957,0.7918361,0.0028275745151483496,0.98627543,0.39397922,0.909919,0.8347266,0.0016739617567509413,0.97541475,0.6513389
44,0.88548315,0.79454416,0.002791173360310495,0.98673075,0.39450803,0.90741235,0.8305167,0.0017713973065838218,0.981614,0.63396555
45,0.8862479,0.79577243,0.0027797774786291565,0.9868241,0.39450854,0.9033303,0.8237035,0.0018959190929308534,0.9751734,0.63858783
46,0.8858017,0.7950564,0.0027952628756832817,0.98657703,0.39415035,0.90722233,0.83019835,0.0018342089606449008,0.96679574,0.6566784
