epoch,dice_coef,iou,loss,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.047750928,0.024531059,0.24227314277790313,0.23058157,0.39159855,0.060787264,0.03136044,0.12871414422988892,0.5797101,0.40165764
1,0.074240975,0.03858901,0.10696146359970403,0.7232497,0.2990649,0.07807809,0.04064542,0.09007660672068596,0.72125435,0.42891297
2,0.09090787,0.047666833,0.08317935060666398,0.77538425,0.31314203,0.11568565,0.06144514,0.07825393229722977,0.6443312,0.6046382
3,0.10742439,0.056824625,0.07117751143266295,0.8028968,0.33013463,0.13825157,0.07427372,0.08112127333879471,0.5315136,0.7433057
4,0.12423065,0.06631202,0.06223876495997226,0.8224817,0.34049243,0.16506523,0.09004171,0.06822576746344566,0.5606957,0.7476092
5,0.14247495,0.07680477,0.054770529080658804,0.83976483,0.34879044,0.18304366,0.10088946,0.05543065443634987,0.6655456,0.70967484
6,0.16194957,0.088239506,0.0483755559747129,0.8545187,0.3549708,0.20503306,0.11440596,0.049550073221325874,0.66951376,0.7121454
7,0.18307616,0.10092478,0.04278022225209793,0.86771035,0.35986054,0.22640467,0.12785897,0.043250059708952904,0.7005897,0.7005897
8,0.20592235,0.11498599,0.03774013045936996,0.8779892,0.36263892,0.24876145,0.1423001,0.03705945611000061,0.73652077,0.6825789
9,0.23030108,0.13039236,0.033367176854246575,0.8882775,0.36542356,0.2730444,0.15839878,0.03271004557609558,0.7490457,0.67245775
10,0.25594926,0.14706895,0.029570457043646033,0.8970108,0.36756793,0.30122304,0.17764483,0.030085994862020016,0.73338455,0.6850494
11,0.28222278,0.16467004,0.026286858596925644,0.90304744,0.3685746,0.3271269,0.19592553,0.026018395088613033,0.76348394,0.66783553
12,0.31059685,0.18429662,0.02335824585129875,0.91097414,0.37009153,0.35237813,0.21428007,0.023604556918144226,0.7668498,0.6673573
13,0.34060723,0.20578413,0.020774658988663104,0.91894335,0.37179145,0.38380137,0.23798516,0.020142601802945137,0.80637157,0.64751357
14,0.37157097,0.22877134,0.018509729093936986,0.92649287,0.3729769,0.39929834,0.24975987,0.018654254265129566,0.8089679,0.6240038
15,0.40185228,0.2521287,0.01657051262364528,0.9311016,0.37381023,0.432853,0.2768247,0.015903448686003685,0.8317737,0.6233663
16,0.43417788,0.27804673,0.01481401679636694,0.9381918,0.37527907,0.43685955,0.27962345,0.014706623274832964,0.88598156,0.5585751
17,0.4656781,0.30434528,0.013323852922334227,0.9417673,0.3763237,0.48356837,0.31918597,0.012620802503079176,0.8934016,0.5977845
18,0.49878103,0.3331662,0.011956544176047279,0.9458343,0.37750515,0.34973687,0.21213178,0.018537168391048908,0.925022,0.33527255
19,0.5304918,0.36198658,0.010789989297505641,0.9492279,0.37828317,0.39950883,0.24993736,0.016266271471977234,0.92436147,0.37496015
20,0.56195664,0.3918259,0.009763620498720123,0.95342934,0.37955877,0.43861324,0.2812493,0.015322486869990826,0.93038446,0.39727446
21,0.5913798,0.4209158,0.0088905465083879,0.9562462,0.38040394,0.31592423,0.18848908,0.021323536057025194,0.91457283,0.23206885
22,0.6184985,0.44883773,0.00815959580562099,0.95772713,0.38091913,0.53303695,0.36344576,0.011905261315405369,0.9190592,0.45154607
23,0.64499116,0.47719303,0.00749313633287932,0.9601703,0.38174042,0.3656395,0.22586128,0.020941659342497587,0.9217092,0.25613645
24,0.6698708,0.5048108,0.006913481349921461,0.9624743,0.38255093,0.63442343,0.465232,0.008083336055278778,0.9299489,0.5226331
25,0.6927472,0.5311486,0.006414283242287808,0.9643719,0.3832604,0.10213359,0.054219224,0.03756545204669237,0.7955665,0.05148231
26,0.71528465,0.55795014,0.005941430772086172,0.96712565,0.38433635,0.22002165,0.12509152,0.03248210996389389,0.89935637,0.12248964
27,0.7283543,0.5739273,0.005709897249606763,0.96450686,0.38319352,0.73389095,0.5799158,0.006005465518683195,0.8681442,0.6773988
28,0.7489827,0.599844,0.005297304166624387,0.96866727,0.38495854,0.7700254,0.6263757,0.0045709433034062386,0.9262247,0.6313357
29,0.7608125,0.6151093,0.005095582552522226,0.96737516,0.38446367,0.7300283,0.5758747,0.006464559584856033,0.9438855,0.5308416
30,0.7808544,0.6416016,0.004708262463641721,0.9727636,0.3865008,0.8017396,0.66926026,0.0038789629470556974,0.9372003,0.6386675
31,0.79625297,0.662492,0.004424378761837562,0.9753377,0.3877896,0.81138664,0.6827669,0.003870167420245707,0.9304378,0.63850814
32,0.8086958,0.67974764,0.004203450111036059,0.9771349,0.38858753,0.824455,0.7013764,0.0036366545828059316,0.9344526,0.64759326
33,0.8184999,0.69358957,0.004040573255922429,0.97773975,0.38886198,0.802458,0.6701231,0.004648124682717025,0.9321828,0.6112528
34,0.8083732,0.6795191,0.004294531235774589,0.96842104,0.3849384,0.789042,0.6523377,0.006655838806182146,0.94219875,0.5832802
35,0.8304718,0.71081024,0.0038394386904465772,0.9789119,0.38889155,0.834609,0.7161803,0.003725740942172706,0.9521147,0.6243226
36,0.83798397,0.72174656,0.0037088727532496113,0.97991174,0.38950545,0.8450395,0.73169535,0.0032736901193857193,0.95276064,0.62846667
37,0.8436321,0.73009557,0.003616071701101244,0.9805302,0.38979742,0.8371612,0.71994,0.0034967935644090176,0.938778,0.6220115
38,0.8385851,0.72285813,0.0037442797518790114,0.97511107,0.38807055,0.83371514,0.7149104,0.003792636562138796,0.95423853,0.6082244
39,0.85344625,0.7448127,0.0034441195934642715,0.9821693,0.39058024,0.8524163,0.742803,0.00329203181900084,0.94846964,0.6322123
40,0.8583245,0.7522772,0.0033617648604017314,0.98314655,0.39081845,0.7442661,0.59270394,0.013069277629256248,0.7396299,0.672139
41,0.84229046,0.7287685,0.003736570045327616,0.9721793,0.38698143,0.64775157,0.47976607,0.015134765300899744,0.9648943,0.3745617
42,0.85809433,0.7519073,0.003383710275831914,0.98096675,0.3901927,0.8670454,0.76531625,0.0029183552833274007,0.9425926,0.6490277
43,0.86463,0.76191336,0.003253248571296396,0.98310584,0.3911956,0.8486972,0.737659,0.003949565230868757,0.887306,0.6651259
44,0.8679156,0.7670348,0.0031950680050338337,0.98389745,0.391381,0.8591938,0.7531918,0.003562178695574403,0.96038353,0.60663056
45,0.86234844,0.7587914,0.003333487912747186,0.97910094,0.3898388,0.81999576,0.6949663,0.005711044417694211,0.85642654,0.66695887
46,0.86357874,0.7603669,0.003284973301518665,0.9803844,0.39041957,0.81066656,0.68297726,0.006725262152031064,0.96597004,0.54518646
47,0.8689831,0.76860577,0.003171331528709595,0.982745,0.3913616,0.82078916,0.6961671,0.005467038601636887,0.9637204,0.54829454
48,0.8717522,0.7729545,0.003113512647592701,0.98371583,0.39166856,0.8366549,0.7201688,0.004656415316276252,0.9479479,0.60376155
49,0.87412226,0.776642,0.0030607664118369304,0.984356,0.39202183,0.8557961,0.7485411,0.004209171864204109,0.96602255,0.59364045
50,0.86239874,0.7586576,0.0033296071276201346,0.9771199,0.38911927,0.7654875,0.6215462,0.009342435514554381,0.9701326,0.4840612
51,0.87310356,0.77501446,0.003077030438573782,0.9832941,0.3918201,0.86870646,0.76792675,0.0032157062087208033,0.9781129,0.5840771
52,0.8722225,0.77371866,0.003095459932770017,0.9817132,0.39144585,0.87579966,0.77907056,0.002796595566906035,0.971731,0.59993625
53,0.8780085,0.7826794,0.002961867252367462,0.9846989,0.39270657,0.87941897,0.7850492,0.002663996536284685,0.93225145,0.65468603
54,0.87975633,0.7854631,0.0029279021317813393,0.9851437,0.39291784,0.8515186,0.74149215,0.004253172432072461,0.97303957,0.56662416
55,0.88262755,0.79002583,0.002861893372197343,0.98618776,0.39358467,0.88453525,0.79310405,0.002515741973184049,0.9494534,0.64368826
56,0.8843582,0.7927964,0.002830552882250929,0.98667896,0.39380032,0.8671776,0.7656446,0.0035587355960160494,0.96927446,0.59834236
57,0.8651008,0.76309025,0.0032776332779132305,0.9754577,0.38940987,0.8459061,0.73310554,0.004192499211058021,0.8853336,0.64607906
58,0.87728393,0.78158826,0.0029838740621587847,0.98287624,0.39245883,0.87393695,0.77610683,0.0029261927120387554,0.9761159,0.59603125
59,0.88133025,0.787948,0.002896135215556823,0.9847929,0.39316967,0.66868544,0.506715,0.015930974390357733,0.9852697,0.3784667
60,0.8761499,0.779804,0.003022576366357646,0.9813802,0.3918112,0.8784251,0.7834126,0.002762292046099901,0.9569189,0.6177877
61,0.8822848,0.7894678,0.0028763471335730363,0.98483235,0.39321503,0.85422647,0.7456392,0.003957759938202798,0.97463816,0.5635161
62,0.8794011,0.7850117,0.0029594215030069896,0.9831184,0.39231703,0.85194695,0.7424096,0.004019614774733782,0.9215782,0.5993784
63,0.8833691,0.7912605,0.0028562384791574764,0.98559546,0.39332926,0.777408,0.6386069,0.004667224362492561,0.9297372,0.640102
64,0.8857669,0.7950616,0.002808376255162266,0.9864293,0.3938607,0.870741,0.77156425,0.0032915680203586817,0.91445935,0.63555944
65,0.88725007,0.7974417,0.0027732935339499394,0.9868865,0.3940922,0.88153934,0.7882368,0.0027436218224465847,0.9570054,0.6102168
66,0.88757503,0.79798794,0.002771245638858852,0.98695,0.39416367,0.7395714,0.58678097,0.011266415007412434,0.99040633,0.41958877
67,0.8786889,0.7839361,0.0029679525567104952,0.98175335,0.392268,0.5120233,0.36606982,0.01716727251186967,0.57817614,0.56287855
68,0.88554096,0.7946915,0.002815050506310505,0.9858675,0.39378712,0.8884656,0.7993196,0.0025889630196616054,0.97727275,0.6065509
69,0.8861832,0.7957203,0.0027986554681732278,0.9860264,0.3940048,0.8919635,0.8050498,0.002608099370263517,0.9615803,0.6342844
70,0.88259435,0.7902415,0.0028950948329766954,0.9833097,0.39281523,0.7795249,0.63872916,0.006425874307751656,0.87909836,0.5470194
71,0.87838584,0.7834613,0.0029618298028444134,0.98180073,0.39257914,0.8798137,0.78543866,0.0027437370736151934,0.96335274,0.6200988
72,0.8829839,0.79069173,0.0028764410308212973,0.98387915,0.39307305,0.8694581,0.76906884,0.0028693638741970062,0.94673914,0.62472105
73,0.8848122,0.7935451,0.0028248419868421395,0.9851076,0.3936755,0.8793218,0.7846366,0.00296904391143471,0.9442312,0.6274307
74,0.8890184,0.8002988,0.0027361044362065557,0.98730874,0.39443824,0.8810228,0.7873839,0.0028625045670196414,0.95389014,0.61165124
75,0.89076525,0.80313945,0.0026989676713805406,0.9881086,0.39480418,0.8918511,0.8048159,0.0025664629647508264,0.9593865,0.62312716
76,0.89176136,0.8047578,0.0026801218176165835,0.98850495,0.39502665,0.8788711,0.78405535,0.0031532382126897573,0.92293495,0.6375518
77,0.8921105,0.8053269,0.0026747187777885323,0.98853856,0.3949793,0.8711039,0.7718705,0.0036583762848749757,0.97194284,0.58527255
