epoch,dice_coef,iou,loss,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.14430925,0.07870419,0.06453560352552855,0.61184484,0.28323284,0.3059743,0.18062147,0.054732849821448326,0.48322594,0.82277286
1,0.2964239,0.17499575,0.021480447706105837,0.8455029,0.30742347,0.45056885,0.2907968,0.020783944986760616,0.7092304,0.6292794
2,0.42579082,0.27166906,0.013775218758721251,0.8660655,0.330985,0.5309398,0.3614927,0.01236839359626174,0.8614697,0.53439254
3,0.53399247,0.36580756,0.010185533504375408,0.8845976,0.34494412,0.6074866,0.43649712,0.010800908785313368,0.83796865,0.5565853
4,0.62666863,0.45794114,0.007948339087644939,0.9064487,0.35831425,0.6546943,0.48706073,0.00896712695248425,0.8499141,0.56125087
5,0.686903,0.52486134,0.006691974895020817,0.92227554,0.36563239,0.73188484,0.5771868,0.0070020342245697975,0.8603038,0.61774164
6,0.7349737,0.5828574,0.005786173089290969,0.93855137,0.37127843,0.6930862,0.5303254,0.008529257262125611,0.8434577,0.5628901
7,0.7644444,0.62070185,0.005256002593574352,0.94579494,0.37444553,0.7387903,0.58755636,0.007553549949079752,0.8828429,0.6147784
8,0.7855366,0.64888924,0.004892140124697065,0.9518029,0.37654004,0.7324741,0.57879317,0.008008524077013135,0.87901855,0.5533699
9,0.8031002,0.6730093,0.004577439693262974,0.9579451,0.37914708,0.7846591,0.6456361,0.005846381653100252,0.89845514,0.62700963
10,0.8128925,0.686904,0.004418295207785356,0.9597859,0.3801794,0.73339283,0.5790215,0.007209830218926072,0.92197865,0.51705444
11,0.8249548,0.7040333,0.004178342783043898,0.9641823,0.38218755,0.71257746,0.5628651,0.009733187267556787,0.88446623,0.4889351
12,0.8350485,0.71870786,0.00397320679317196,0.9678991,0.3837563,0.775843,0.63457584,0.006677040597423911,0.93215793,0.5700145
13,0.8358856,0.7198983,0.003957447848353145,0.9671388,0.38366038,0.7761668,0.6353927,0.006905611604452133,0.9254034,0.57486916
14,0.84687483,0.7360788,0.0037104025395819917,0.9720739,0.3858895,0.8064585,0.67636013,0.006037549814209342,0.93428224,0.5835067
15,0.8499042,0.74066097,0.003641003367510018,0.972872,0.38616523,0.7395344,0.5869212,0.01013136189430952,0.9300329,0.49864447
16,0.84781885,0.7375696,0.0036530492598526613,0.9710774,0.38564995,0.79580885,0.66088533,0.008095026714727283,0.96091497,0.545615
17,0.8560597,0.74972403,0.003476983848803536,0.9751476,0.38730258,0.7231786,0.567196,0.013072807341814041,0.9532518,0.46667928
18,0.8543863,0.74737674,0.0034980110113094777,0.97312975,0.38675702,0.6310473,0.46891513,0.015424726065248251,0.95007825,0.3443667
19,0.8625868,0.75933,0.003301351675682506,0.976839,0.388699,0.5711024,0.41226947,0.029733942355960608,0.9472952,0.34335792
20,0.86235446,0.75900227,0.003316106627015722,0.9768648,0.38849688,0.86443233,0.7615672,0.0035358662717044353,0.9617803,0.6171742
21,0.8619973,0.75840545,0.0033314872301605986,0.9758035,0.3884585,0.6809516,0.5253604,0.01221631863154471,0.973213,0.42834625
22,0.8706049,0.77145606,0.003124463980913238,0.97986215,0.3904614,0.85769653,0.7509643,0.004336545011028647,0.96312296,0.6043125
23,0.8740509,0.77679133,0.0030533587895090106,0.98089707,0.39119557,0.8136232,0.68618774,0.00639539142139256,0.92534673,0.593153
24,0.86760706,0.7669323,0.003196312898200081,0.977048,0.38961348,0.80585027,0.6752751,0.005952490959316492,0.9151658,0.5638358
25,0.86686563,0.7657213,0.0032124685693456423,0.97691655,0.3894951,0.38850224,0.24635422,0.046524958685040474,0.94160587,0.19519576
26,0.87420523,0.7770872,0.003037503905605178,0.9803538,0.3914506,0.8956033,0.81099737,0.002620094339363277,0.9726671,0.63943005
27,0.88226736,0.7895554,0.0028777520619346327,0.9839231,0.39299548,0.88438773,0.79274386,0.0032807395327836275,0.9504858,0.6414476
28,0.88416123,0.7925626,0.0028392635779942626,0.984798,0.39335582,0.8870759,0.79721177,0.0032501514069736004,0.95786726,0.64787847
29,0.86560243,0.7642728,0.0032388727339038755,0.9747105,0.3893276,0.59357697,0.4222098,0.019991183653473854,0.9477404,0.3212912
