epoch,dice_coef,iou,loss,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.08161164,0.042765427,0.12981258142133092,0.31913632,0.35763735,0.11074515,0.058627676,0.05363635532557964,0.8288725,0.30847058
1,0.17437567,0.09596025,0.0413452236436654,0.84920114,0.31000236,0.22523552,0.12731019,0.028708343394100666,0.8128812,0.42862746
2,0.29630274,0.17497367,0.022707985814249272,0.87008125,0.33538067,0.39363053,0.2464365,0.016774202696979046,0.79250723,0.56078434
3,0.4317159,0.2766237,0.014273918182372527,0.89424074,0.35425928,0.50269675,0.33757707,0.012195632327347994,0.75020087,0.5858039
4,0.5457022,0.37674478,0.010122961297003163,0.91500443,0.36438647,0.5840539,0.4146623,0.010064170695841312,0.74494755,0.6013333
5,0.6325731,0.46429524,0.007839074227715258,0.9328935,0.3696008,0.6855715,0.523535,0.006549723446369171,0.8485167,0.6326274
6,0.6958799,0.535347,0.006466115921665373,0.9455843,0.373659,0.651876,0.48626375,0.00666814181022346,0.9496238,0.45537254
7,0.74315846,0.5930101,0.005551068369450784,0.9548456,0.37763056,0.70366395,0.54436463,0.007347953971475363,0.7829409,0.59466666
8,0.7681376,0.62533385,0.005128974004291258,0.9555219,0.3778808,0.6603376,0.49428412,0.009293043985962868,0.9448595,0.41662744
9,0.7981976,0.666064,0.004584561485518311,0.96440965,0.38148844,0.73121417,0.5776824,0.009176021441817284,0.9413277,0.4882353
10,0.8068087,0.67826176,0.004451689995327141,0.9620914,0.3811903,0.7208503,0.56393605,0.006362465675920248,0.9149888,0.48117647
11,0.82477427,0.70382905,0.004124173141885982,0.9676955,0.3832507,0.77981424,0.6398405,0.006524387747049332,0.924029,0.5504314
12,0.8375933,0.7224267,0.0038868473077241636,0.97205687,0.3852866,0.6342566,0.46528733,0.011113216634839773,0.7827619,0.45301962
13,0.8362965,0.72059417,0.0039097662198866266,0.96888417,0.38378915,0.79263437,0.65808856,0.0054143250454217196,0.87771374,0.5612549
14,0.8466456,0.7357034,0.0036935478429916467,0.97304595,0.3857532,0.7569097,0.60946596,0.007785293972119689,0.9135229,0.49380392
15,0.8479932,0.73766005,0.0036589072693713268,0.9726876,0.38583812,0.7926977,0.66028464,0.006120275240391493,0.9381633,0.52
16,0.8514878,0.7428661,0.003604293786169322,0.9735462,0.3862668,0.80019003,0.66701794,0.006219895090907812,0.9434706,0.54454905
17,0.86154425,0.7579947,0.0033824295008576715,0.9776556,0.38831335,0.7561412,0.60884297,0.009698702022433281,0.94327635,0.48909804
18,0.8660305,0.76468223,0.0032842409015947215,0.97903806,0.38922855,0.8464612,0.7339314,0.003519039135426283,0.94265056,0.5930196
19,0.86164564,0.75780725,0.0033757821737983545,0.97651726,0.38834995,0.7796917,0.6409017,0.0063664724584668875,0.833223,0.59207845
20,0.8589443,0.7538375,0.003414641741729547,0.9754806,0.38788164,0.8918153,0.8049252,0.002069698879495263,0.9579949,0.6475294
21,0.8685364,0.768281,0.0032167871581487966,0.9790918,0.3895484,0.7399154,0.589115,0.010463187005370855,0.9395245,0.4618039
22,0.87339985,0.775725,0.0030801922325207312,0.98114806,0.39081386,0.8570462,0.75046146,0.0029560880502685905,0.9557321,0.59435296
23,0.8775774,0.7822416,0.0030038151756364875,0.9830037,0.39146477,0.818224,0.6941653,0.004554825834929943,0.8735487,0.596
24,0.8717033,0.7731848,0.003133021895590964,0.98020977,0.39001396,0.19134754,0.10581289,0.037260087206959724,0.9665428,0.06117647
25,0.86973405,0.7701471,0.0031594391841154416,0.97884536,0.38980335,0.82239467,0.69896144,0.004702251870185137,0.91760623,0.58086276
26,0.8818279,0.7887993,0.0028965862697669913,0.98436135,0.3924364,0.8642942,0.76146984,0.003167955204844475,0.91209036,0.63960785
27,0.8846722,0.79332674,0.0028346780446279513,0.98527545,0.39307722,0.8976998,0.814445,0.002067210734821856,0.95614237,0.6531765
28,0.88458943,0.7931886,0.0028340529767541906,0.98510945,0.39312252,0.8823228,0.78945184,0.002677352982573211,0.9401021,0.64996076
29,0.8821925,0.78936183,0.002886372847823686,0.9841845,0.39270893,0.8061497,0.67530227,0.005563909187912941,0.8999395,0.58337253
30,0.86506015,0.76314056,0.0032626349046801996,0.9766001,0.38852397,0.68120676,0.51850504,0.009954992681741714,0.9197851,0.38941178
31,0.8797671,0.785585,0.00294041128214557,0.9832854,0.39212763,0.86818683,0.76743984,0.0029515462229028344,0.94196904,0.62509805
32,0.8872403,0.7974274,0.00277154685335158,0.9861641,0.39372793,0.8850862,0.79415274,0.0024884057929739356,0.9513348,0.6316863
33,0.88975924,0.80149555,0.0027195074303457407,0.98713773,0.39422244,0.84763587,0.73711824,0.003699634806253016,0.9460486,0.58588237
34,0.88991004,0.80174565,0.0027194270846531404,0.987276,0.39421782,0.90599173,0.82815814,0.0019017653539776802,0.9557522,0.66070586
35,0.88948476,0.8010585,0.0027258018665232285,0.9869857,0.394183,0.8397409,0.7254792,0.003935051732696593,0.9481811,0.5683137
36,0.888324,0.7991789,0.0027477716976982477,0.98655313,0.3939963,0.8671086,0.76685673,0.003283894620835781,0.9320818,0.61137253
37,0.88524705,0.79422486,0.0028142479873062005,0.9852889,0.3934213,0.8991536,0.8167939,0.00212440436007455,0.9586319,0.65066665
38,0.86309725,0.76060903,0.0033272334714934534,0.973591,0.38811114,0.89275074,0.8064912,0.0021462393924593925,0.9599241,0.6349804
39,0.88470256,0.7933943,0.002825546095135546,0.9847022,0.39322263,0.83736324,0.7210414,0.004362109582871199,0.94579244,0.5747451
40,0.8910239,0.8035516,0.0026868683538808446,0.9876175,0.39455327,0.8702477,0.7706878,0.0035136761143803596,0.9543486,0.6050196
41,0.8931005,0.80693686,0.002643726725837887,0.9884831,0.39497408,0.8865484,0.79674596,0.0029776132432743907,0.9653071,0.60886276
42,0.8945761,0.8093509,0.0026119655554201777,0.9892025,0.39533126,0.9102782,0.83536017,0.0017292449483647943,0.9706925,0.6442353
43,0.89479387,0.8097117,0.0026080857691298197,0.989285,0.3953674,0.83375096,0.71573126,0.005295110633596778,0.94520545,0.56282353
44,0.8933085,0.80728966,0.0026389948191557103,0.9885719,0.39505103,0.8427526,0.7288312,0.004457095637917519,0.9331674,0.58807844
45,0.89122903,0.8039028,0.0026809686813828383,0.9877963,0.39464387,0.86253834,0.75858486,0.0034853011602535844,0.9027346,0.6369412
46,0.8918025,0.8048392,0.0026681470685722413,0.9880092,0.3946902,0.90681636,0.8295231,0.0018955155974254012,0.9618971,0.65537256
47,0.8907478,0.80313087,0.0026900712106252347,0.9875129,0.39449784,0.8902967,0.8023334,0.0024096863344311714,0.9459178,0.64062744
48,0.8786031,0.7839625,0.002958691665235376,0.98098886,0.39183262,0.81025064,0.6814033,0.0046638548374176025,0.88356245,0.5999216
49,0.8876788,0.79820085,0.0027561803168324795,0.9859678,0.3938162,0.64246285,0.47592473,0.013031883165240288,0.8932905,0.39262745
50,0.88930637,0.8008347,0.0027310402852721337,0.9864977,0.3941481,0.8493772,0.73823786,0.003962528193369508,0.9352158,0.6000784
51,0.89503855,0.8101254,0.0025945871458916796,0.9895865,0.39544174,0.8875976,0.79814214,0.0024680502247065306,0.9593457,0.6255686
52,0.8968064,0.8130317,0.002557892844908015,0.99039537,0.39581317,0.8948457,0.8098142,0.0022387313656508923,0.9619831,0.63309807
53,0.8976877,0.8144864,0.00254032375655803,0.99076813,0.3960629,0.9055364,0.82739776,0.0019069209229201078,0.9646714,0.64462745
54,0.8975445,0.8142544,0.002543797322581414,0.9906706,0.39608094,0.90819883,0.83186334,0.0018244574312120676,0.9634146,0.6505882
55,0.8961706,0.81200063,0.0025717730609886888,0.99002886,0.39574566,0.8529248,0.74367166,0.003955078427679837,0.92851156,0.60815686
56,0.8951945,0.81040096,0.0025913195062204006,0.9895878,0.39553243,0.8425387,0.72821355,0.005659913877025247,0.9418693,0.5832941
57,0.8947073,0.80960935,0.0026003944054367777,0.98943186,0.3954364,0.89338285,0.8073833,0.002285888302139938,0.95651156,0.6417255
58,0.89381105,0.8081462,0.002620372586026734,0.9889827,0.39518565,0.88481534,0.79374814,0.0025237906957045197,0.94255936,0.63835293
59,0.8920295,0.8052494,0.002658868779436425,0.9881268,0.39486885,0.8703414,0.7710061,0.0032751383259892464,0.9509028,0.6030588
60,0.893244,0.8072277,0.002629445316500117,0.98878753,0.39505386,0.822037,0.6990752,0.007299696793779731,0.9345869,0.5535686
61,0.89538956,0.81073564,0.0025827103024714105,0.9897597,0.39554408,0.79913604,0.6674367,0.009423051960766315,0.9401274,0.5209412
62,0.89683145,0.8131049,0.0025518385863992884,0.99042803,0.39587504,0.8515264,0.7432083,0.005609324318356812,0.9490658,0.58164704
