epoch,dice_coef,iou,loss,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.058806296,0.03038338,0.198605676019384,0.20117067,0.44245115,0.014853701,0.007483928,0.11082321032881737,0.0,0.0
1,0.099900484,0.052647665,0.07799426720988366,0.8357808,0.3108725,0.15647031,0.08501909,0.06232769601047039,0.59920114,0.6118431
2,0.14202693,0.076569036,0.05307492665465801,0.861173,0.31948584,0.16976194,0.092960596,0.043121665716171265,0.8155962,0.47905883
3,0.19146219,0.10607734,0.03830412780084918,0.8729094,0.33641306,0.15060306,0.08164866,0.03525787778198719,0.91816956,0.2675294
4,0.24958737,0.14290193,0.028739556934564345,0.888348,0.3510059,0.2872427,0.16811696,0.025516233406960964,0.80888575,0.5397647
5,0.31455216,0.1870738,0.022203997889113043,0.8998949,0.36373955,0.3462137,0.21004048,0.019295303151011467,0.8884708,0.51858824
6,0.38208982,0.2367219,0.0175485995898564,0.9131815,0.37566152,0.42841333,0.27358773,0.014961980283260345,0.8830488,0.5679216
7,0.44668344,0.28827864,0.014215592604370848,0.92625517,0.38177142,0.4496122,0.29141074,0.01274103345349431,0.90789104,0.50713724
8,0.5094723,0.34259126,0.011674695969709466,0.93783337,0.38846633,0.5190253,0.35151684,0.011440210044384003,0.8477541,0.5625098
9,0.5617062,0.39130238,0.009916567898565723,0.9450561,0.39075965,0.58782065,0.41737044,0.009975817054510117,0.8167444,0.632
10,0.6089585,0.43860158,0.00855137454195609,0.95001525,0.39336914,0.599455,0.4305364,0.008501897100359201,0.89220005,0.54007846
11,0.65348387,0.48627508,0.007417712250964776,0.95608383,0.3969328,0.6310507,0.46261203,0.008762621320784092,0.8368167,0.5715294
12,0.68390954,0.5205184,0.006722823673138215,0.9569521,0.397137,0.67343855,0.50943077,0.007504889043048024,0.859086,0.61921567
13,0.7160298,0.5584518,0.006012464340235437,0.9626528,0.3994444,0.7172897,0.5604114,0.0058626472018659115,0.90543735,0.6007843
14,0.7406078,0.58900887,0.0055310159486027495,0.9648187,0.40041983,0.7704075,0.62741005,0.004264750983566046,0.93384224,0.6332549
15,0.77187645,0.6292042,0.004874094149788782,0.9723843,0.4040148,0.787832,0.6505958,0.004144070670008659,0.93426955,0.62094116
16,0.790141,0.65373254,0.004550856453246407,0.97370815,0.4045251,0.7019274,0.541996,0.006992027163505554,0.8616077,0.5556863
17,0.79148793,0.6556366,0.004565062111003265,0.9674504,0.40247652,0.715009,0.560321,0.007450949866324663,0.8958362,0.5112941
18,0.8133464,0.6859068,0.004139126847017436,0.97474545,0.40518415,0.81060565,0.6825378,0.0039707201067358255,0.9155995,0.6168628
19,0.8112393,0.68309414,0.004236847834451304,0.9684811,0.40262505,0.8122083,0.68423814,0.0038916744524613023,0.9265135,0.6229804
20,0.8351889,0.71738863,0.0037428381942933605,0.977732,0.4068755,0.8561847,0.74861985,0.002754769171588123,0.95906365,0.63945097
21,0.8460072,0.7333902,0.003522062431570263,0.97941315,0.4080164,0.8052101,0.67423826,0.0050779180601239204,0.928003,0.58533335
22,0.84384847,0.730451,0.003613608844968821,0.9747016,0.40612856,0.8176515,0.6926435,0.003926751087419689,0.8945505,0.6540392
23,0.84003603,0.7247088,0.003712183152956347,0.97116506,0.404623,0.7520016,0.6025866,0.008260496193543077,0.8297896,0.5876863
24,0.86311764,0.75934476,0.0032117488005408835,0.980839,0.4091184,0.7598095,0.61268246,0.007645725971087813,0.90063626,0.5218039
25,0.86774766,0.7665554,0.003125905124620805,0.98127115,0.4095344,0.8514034,0.7412844,0.0034670899622142315,0.9226763,0.6392157
26,0.8704595,0.77073854,0.003071746935001424,0.9811915,0.40978512,0.83112,0.71112454,0.004681561375036836,0.9037824,0.6203137
27,0.8713184,0.77207094,0.0030609759006408914,0.98059267,0.40966383,0.83496463,0.71762526,0.003998515196144581,0.91648483,0.5930196
28,0.87234575,0.7736721,0.003049200778496602,0.9800062,0.40968722,0.87256765,0.7743896,0.00293047190643847,0.97295904,0.59262747
29,0.84475136,0.7328346,0.003675765032324219,0.9625943,0.4031456,0.7826469,0.6441056,0.005595185095444322,0.8392024,0.620549
30,0.86659694,0.7647945,0.003210081881843507,0.9763835,0.40756798,0.8144184,0.6876024,0.004638959653675556,0.93968296,0.57184315
31,0.882147,0.7892041,0.0028599927318282425,0.9828174,0.4108697,0.8413025,0.7261839,0.004041425185278058,0.946231,0.5769412
32,0.88695806,0.79693145,0.0027634471951563273,0.98433876,0.4116787,0.86192083,0.7578044,0.003261175937950611,0.9561933,0.5957647
33,0.88702,0.7970433,0.0027711854410177516,0.98388946,0.41154906,0.88118416,0.78761536,0.0027115464909002185,0.9331761,0.65168625
34,0.8858096,0.7951004,0.0028023970715190857,0.98302597,0.4111942,0.8784106,0.78319573,0.0028427597135305405,0.93254465,0.6429804
35,0.8853039,0.7942965,0.0028147912471585216,0.98255986,0.41122025,0.85264826,0.7431499,0.0038778495509177446,0.92997605,0.60831374
36,0.8860759,0.79552525,0.0028032369014146107,0.98282665,0.411177,0.85292935,0.743588,0.003933716332539916,0.9482475,0.5877647
37,0.86085194,0.7569193,0.003372743150835196,0.96809757,0.405155,0.7347668,0.5808513,0.007858554366976023,0.93434584,0.46321568
38,0.8741132,0.7766079,0.003061411023560551,0.97677225,0.40847918,0.8584564,0.75332487,0.0031360852299258113,0.95947677,0.5868235
39,0.89016604,0.8021361,0.0027182066163438704,0.98430276,0.41173673,0.87570024,0.77978003,0.002652035327628255,0.9457129,0.6107451
40,0.8929199,0.8066208,0.0026613955419780987,0.9853081,0.41241658,0.88805985,0.7987226,0.0024148651864379644,0.95499045,0.62737256
41,0.8920572,0.80523574,0.002684777498155111,0.9847854,0.41234803,0.87321055,0.77515996,0.003012924804352224,0.95745486,0.59482354
42,0.89090735,0.8033664,0.002710197431846492,0.9840969,0.41212907,0.85079896,0.7404747,0.004389443667605519,0.9493881,0.58407843
43,0.89280516,0.8064379,0.0026691868416814793,0.9849399,0.41228524,0.87205875,0.7732492,0.00397000543307513,0.9388779,0.63129413
44,0.89489686,0.8098504,0.002623482959555282,0.9858723,0.41270193,0.86650807,0.7646311,0.003942355280742049,0.91687995,0.6462745
45,0.8948885,0.80984086,0.0026262736300967874,0.98572403,0.41277164,0.8763294,0.78009754,0.0032743402989581227,0.93030095,0.6448628
46,0.8669269,0.7658512,0.003257186801713561,0.9695647,0.4068743,0.8063984,0.6772881,0.005761848762631416,0.816181,0.6195294
