epoch,dice_coef,iou,loss,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.057534583,0.029701918,0.20033629146942206,0.19670877,0.433876,0.0160499,0.008092076,0.12357939407229424,1.0,0.0015131454
1,0.098329745,0.051784772,0.07766145715719142,0.8287382,0.31044158,0.18157887,0.09987972,0.06253430806100368,0.6843725,0.5889288
2,0.14287354,0.077065535,0.05218071415315291,0.8502761,0.335682,0.22429736,0.12633531,0.045037610456347466,0.7352821,0.569321
3,0.19381917,0.10752108,0.037526986523522564,0.8640961,0.34939906,0.2546578,0.14590722,0.03430808521807194,0.8218853,0.50242734
4,0.25721616,0.14793354,0.0279255911872402,0.8844611,0.36434135,0.33125967,0.1985735,0.027668997645378113,0.81350154,0.55690056
5,0.32710305,0.19604298,0.021380833946520975,0.9046397,0.37508097,0.37532204,0.23101601,0.02182205393910408,0.84974146,0.53874284
6,0.39567542,0.2472403,0.01687365815290235,0.9180069,0.3838743,0.4611929,0.2998608,0.018352233804762363,0.8171102,0.5768867
7,0.46015748,0.29960674,0.013655187476908182,0.93043625,0.38921311,0.45792624,0.29710472,0.01674154121428728,0.89662945,0.5014816
8,0.52047485,0.35268402,0.011291186334065834,0.9418312,0.3941821,0.56099486,0.38984942,0.012804688420146704,0.8973975,0.56742954
9,0.56957453,0.39914748,0.00967683420260951,0.94588137,0.3957362,0.59029233,0.41945034,0.010991720017045736,0.903339,0.53559047
10,0.6180115,0.4482083,0.008294772892920094,0.95235056,0.39909807,0.619539,0.44891924,0.01107080653309822,0.91472626,0.5572789
11,0.65667087,0.48969248,0.007329409301563016,0.95729285,0.40037632,0.6467151,0.47790867,0.013190813828259706,0.77720165,0.62373114
12,0.68338317,0.52002364,0.006709513357291086,0.956486,0.3999537,0.68291616,0.5188036,0.008946720976382494,0.8742014,0.5866591
13,0.7256596,0.5704141,0.005777870794047222,0.9676049,0.40496343,0.71867955,0.5609926,0.008448973763734102,0.9330065,0.576004
14,0.74343854,0.5927047,0.005450780210393695,0.96538365,0.40407813,0.7023291,0.54139495,0.010080804349854589,0.9314267,0.5318076
15,0.7674664,0.62363786,0.0049918619005085915,0.96944946,0.4056011,0.7224411,0.5655443,0.007915849098935723,0.9048288,0.52808774
16,0.77743095,0.63688624,0.004823815178901709,0.96648,0.40480182,0.7537064,0.60488355,0.0073209344409406185,0.9126409,0.5717168
17,0.8002366,0.6679874,0.004380844260216323,0.97291446,0.4072188,0.7922528,0.6560795,0.005905828205868602,0.9020804,0.61509365
18,0.8101511,0.68180186,0.0042264832048574084,0.9720342,0.4070961,0.8035551,0.6719776,0.005507424473762512,0.90729034,0.61515665
19,0.8308014,0.7113411,0.0037978462807317075,0.97831225,0.4100681,0.8083819,0.67847264,0.006190121173858643,0.91027564,0.6121304
20,0.8261249,0.70458263,0.003949044617509898,0.9713114,0.4074551,0.6963264,0.53440964,0.011780133470892906,0.9082305,0.47796482
21,0.8329211,0.71452165,0.003819155377520936,0.9716192,0.4076014,0.8033653,0.67172205,0.006505141267552972,0.9242996,0.5865961
22,0.8516329,0.74221987,0.003435836472527979,0.97924066,0.41072276,0.81394315,0.68630695,0.0068597153294831514,0.94658905,0.5843894
23,0.85958225,0.7541741,0.0032798443856275985,0.980547,0.4118983,0.84871733,0.7372427,0.005320292431861162,0.95231634,0.61950696
24,0.86104,0.75638735,0.003263405275939485,0.9795481,0.41161206,0.85257363,0.7430351,0.004684343701228499,0.95294577,0.61799383
25,0.86392134,0.76079804,0.0032137687169661753,0.97940826,0.41161558,0.8690988,0.7685672,0.0034254693891853094,0.94745874,0.6264422
26,0.8394579,0.72455233,0.0037729134041322426,0.9642693,0.4052706,0.81700134,0.6906265,0.005499334307387471,0.95375663,0.56824917
27,0.8727386,0.7744255,0.0030284364096679335,0.9810156,0.41250464,0.873265,0.77504,0.003373302984982729,0.9603312,0.628838
28,0.87951756,0.78508717,0.0028960380805303763,0.98295397,0.41384718,0.87855434,0.7834313,0.0033049226040020585,0.9643338,0.63243175
29,0.88018566,0.786195,0.0028967507042531337,0.98231375,0.41352233,0.87125576,0.7719103,0.003756658174097538,0.9503648,0.62410945
30,0.85971177,0.75492316,0.0033674403604219906,0.9707103,0.4087847,0.79952335,0.6660547,0.006537455832585692,0.9087351,0.6001513
31,0.8702275,0.77053636,0.0031157025310125683,0.97642285,0.4110137,0.8680061,0.7668876,0.0037092799320816994,0.94610447,0.6408171
32,0.8807562,0.7870577,0.0028948215316035066,0.980987,0.413185,0.8839989,0.79214936,0.003209084039554,0.961893,0.6381691
33,0.88637084,0.7960139,0.0027805438951210176,0.98318666,0.41432917,0.89028925,0.80230755,0.002977999043650925,0.9740882,0.62808144
34,0.88767344,0.79811364,0.0027575389014216204,0.9833932,0.41466016,0.8740283,0.7765463,0.003930540871806443,0.9589905,0.6133283
35,0.8884301,0.79933584,0.0027481014979856343,0.9833617,0.41461468,0.8776636,0.78211606,0.0037372957449406385,0.9595003,0.61988527
36,0.88771236,0.798195,0.0027668316325625223,0.9829387,0.41446087,0.89165676,0.8044988,0.0030194674618542194,0.9560306,0.6456718
37,0.88846016,0.79939234,0.0027501785426991125,0.9831912,0.41459373,0.8817557,0.7885337,0.0036839169915765524,0.9341339,0.6572095
38,0.87506264,0.7789053,0.003053530071618194,0.97534823,0.4111376,0.77426577,0.6349343,0.008196536218747497,0.86322975,0.59012675
39,0.8646197,0.7626381,0.0033144535873619965,0.971261,0.40901318,0.82119614,0.69730026,0.006433683214709163,0.94312847,0.58237183
40,0.88457817,0.7933104,0.0028632247621452065,0.98126876,0.41315177,0.8597701,0.75530547,0.004326708265580237,0.9620872,0.6079692
41,0.8949014,0.80986136,0.0026147786618947793,0.9858325,0.41580623,0.866578,0.76575625,0.0047225350281223655,0.9618245,0.61156297
42,0.8972999,0.813791,0.002563801663487045,0.9867089,0.41631815,0.8683763,0.76836026,0.004687113221734762,0.96273166,0.6123826
43,0.897196,0.81363183,0.0025694305620711498,0.98643315,0.41630635,0.8609073,0.75746226,0.005418485146947205,0.9651621,0.6026102
44,0.89507747,0.8101793,0.0026163407840122605,0.98549414,0.415794,0.887185,0.7973236,0.0033220513723790646,0.9620633,0.62675744
45,0.8911742,0.80383044,0.0027004101428229725,0.9837306,0.41508654,0.845827,0.7340942,0.005776175414212048,0.9540135,0.5859656
46,0.8898251,0.80163556,0.0027287958200127825,0.9829437,0.41480222,0.8949346,0.8098562,0.0028694281354546547,0.9679165,0.63148606
47,0.89275306,0.8063697,0.002662710893578968,0.9842768,0.4153061,0.8977491,0.81446993,0.0027420667465776205,0.96286875,0.6441586
48,0.895599,0.8110151,0.002601943195471393,0.9855117,0.41589034,0.9082465,0.8319186,0.0024342702236026525,0.96278393,0.66546875
49,0.89725745,0.81373715,0.002566115156900173,0.9862343,0.41625336,0.87447906,0.7782272,0.004773460794240236,0.95110023,0.63766474
50,0.8979774,0.81492686,0.0025519521364190086,0.9866284,0.4164027,0.8820935,0.7896225,0.0038655888056382537,0.9558252,0.63571024
51,0.8975753,0.8142627,0.0025615341111588693,0.9864417,0.41646868,0.881441,0.7884033,0.003927859361283481,0.96,0.6294685
52,0.897714,0.8144899,0.0025578417370172237,0.9864387,0.41644463,0.8828076,0.79020226,0.0037912450497969985,0.9432611,0.639367
53,0.89818996,0.8152762,0.002546534439466588,0.98668104,0.41650116,0.8737223,0.7763016,0.004841551068238914,0.9317167,0.6443478
54,0.89879084,0.81626904,0.0025321627502132805,0.9869436,0.41653132,0.89778805,0.81457233,0.0030419938266277313,0.9569973,0.6454196
55,0.8983278,0.8155109,0.0025433331341644283,0.98664135,0.4165683,0.85719573,0.75330967,0.006511756335385144,0.9676888,0.5929008
56,0.8588128,0.75470537,0.0034948948051704075,0.9643911,0.40730882,0.82159287,0.69864154,0.006017607636749744,0.9436677,0.5830023
57,0.8951335,0.8102677,0.002625139728732031,0.9855786,0.41568938,0.89168155,0.8047339,0.003132251324132085,0.9658193,0.63955617
58,0.90047497,0.8190411,0.0024989045170732195,0.9878659,0.41694617,0.8934375,0.8078941,0.0033576168352738023,0.9627247,0.64157367
59,0.90201354,0.82159436,0.002463861045791923,0.98850673,0.41740036,0.89232,0.8063929,0.003898050170391798,0.96955687,0.6345123
60,0.90284616,0.8229783,0.0024442884913860154,0.9889182,0.41764772,0.902674,0.8227389,0.002859379514120519,0.96914995,0.6397453
61,0.9033799,0.8238682,0.002431984338615595,0.9891963,0.41784254,0.9056798,0.82764167,0.002742577693425119,0.9655302,0.64813066
62,0.9031151,0.8234323,0.002438196902125134,0.98897,0.4177509,0.8803444,0.78634787,0.004468171624466777,0.94651204,0.6381691
63,0.9018433,0.82132584,0.002467288895310358,0.98828804,0.41746846,0.8921871,0.8053671,0.0036907524336129427,0.9525049,0.6461131
64,0.9002114,0.8186281,0.0025025516166718976,0.9876258,0.4169721,0.909238,0.8335877,0.0026360248448327184,0.96536356,0.65544415
65,0.8992457,0.81703573,0.002522252697632751,0.98701483,0.41682297,0.9049657,0.82644486,0.002873638877645135,0.9659858,0.64100623
66,0.9001474,0.8185165,0.002501677536649471,0.9874822,0.4169787,0.87815225,0.78346086,0.004500951385125518,0.9612725,0.6134544
67,0.9016758,0.8210471,0.002466988732174556,0.9883463,0.41730094,0.88230914,0.7900252,0.004218209651298821,0.96108454,0.6212723
68,0.90299636,0.8232392,0.0024362021836096697,0.98910326,0.41774336,0.8914053,0.80462825,0.004136323346756399,0.9693688,0.62650526
69,0.9035759,0.82420546,0.0024235436262427727,0.9893476,0.41791344,0.9107178,0.8360717,0.002439840231090784,0.97244656,0.6452935
70,0.90355885,0.82418025,0.00242339069396845,0.98946124,0.41789106,0.9063277,0.8288808,0.0027188471285626292,0.9614208,0.6536158
71,0.9039246,0.82479167,0.0024128564727442688,0.9896882,0.4179839,0.9102652,0.8353722,0.0025859015295282006,0.96072674,0.6601097
72,0.90398484,0.8248969,0.0024126451300921312,0.98956233,0.41800556,0.9083431,0.832106,0.002793918247334659,0.96327734,0.65821826
73,0.90372753,0.82446605,0.002420363230527928,0.98938864,0.41796574,0.9121975,0.838569,0.0024863105500116944,0.9698502,0.65304834
74,0.9030242,0.82329994,0.002435276385070609,0.989053,0.41776362,0.9000619,0.81848514,0.003974171238951385,0.96881855,0.6405649
75,0.9028912,0.82307726,0.0024369022576138377,0.98901767,0.41780272,0.9197632,0.8514652,0.0021336092613637447,0.9778615,0.6544354
76,0.9028162,0.82295203,0.0024367256507964964,0.98889697,0.41768023,0.9117411,0.83793914,0.0028106608078815043,0.9750593,0.6482567
77,0.90298384,0.8232414,0.0024321459175736795,0.9889894,0.417884,0.86889154,0.77058434,0.0067939149448648095,0.9717087,0.59983605
78,0.9035193,0.8241286,0.0024196501315956235,0.9892654,0.41806588,0.88153744,0.78895116,0.0056372127728536725,0.9784372,0.6007818
79,0.9041839,0.82523274,0.002405107359193289,0.989734,0.41820863,0.90589976,0.8281813,0.002868797047995031,0.98098934,0.6213984
80,0.9052487,0.82700855,0.0023798509390748545,0.9902913,0.4184124,0.9186213,0.8494941,0.0022835932904854417,0.98237586,0.6360885
81,0.9062966,0.82875496,0.0023538896513585744,0.9910782,0.4187547,0.90519506,0.8269493,0.0031236306531354785,0.9659603,0.6351428
82,0.9066626,0.82936907,0.002345789399083222,0.9912778,0.41891864,0.8790056,0.78548205,0.004903062013909221,0.9633264,0.61276084
83,0.90641683,0.8289631,0.0023521265122974848,0.9910619,0.41874173,0.89277446,0.80708104,0.0041800555773079395,0.9700481,0.62278545
84,0.9062467,0.8286901,0.0023567534084152726,0.99093854,0.41868332,0.9181471,0.8486914,0.0022119490895420313,0.97876394,0.64800453
85,0.90649325,0.8291047,0.0023513663859820516,0.9911189,0.4188489,0.9122666,0.8387135,0.0026375032030045986,0.9654076,0.65103084
86,0.90723705,0.8303429,0.002332805265152492,0.9916008,0.4191222,0.9229087,0.8568592,0.0022525403182953596,0.9744024,0.65279615
87,0.9077958,0.8312727,0.002318550391146202,0.99215984,0.41921192,0.9235938,0.8581314,0.002256945939734578,0.97558224,0.6549398
88,0.9080806,0.83174753,0.002312001780671441,0.9922467,0.41930264,0.91138935,0.8372148,0.0030635532457381487,0.97561914,0.6408171
89,0.90831757,0.83214617,0.002306587311765326,0.9923687,0.41944185,0.901796,0.8221402,0.005159832362551242,0.98182,0.62650526
90,0.9086371,0.8326882,0.0022985484301955776,0.9925838,0.41952854,0.9138218,0.84147274,0.002918845566455275,0.97380954,0.64466304
91,0.9087561,0.8328969,0.002295011603449727,0.9927443,0.41950005,0.91068685,0.8363299,0.0030984823242761195,0.9715806,0.64447385
