epoch,dice_coef,iou,loss,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.10433261,0.05545083,0.0948457497316016,0.5260931,0.31725606,0.013115227,0.006602663,0.057202013209462166,0.0,0.0
1,0.1853478,0.102505,0.036702947420793754,0.8474014,0.28514487,0.24447587,0.13928083,0.027256044559180737,0.8239857,0.4402295
2,0.2602792,0.1501011,0.025622924860296565,0.858189,0.32734227,0.27748075,0.16109177,0.02148532774299383,0.8950056,0.4470035
3,0.33371213,0.20088656,0.019348180344569196,0.8738815,0.34509024,0.2835403,0.16553752,0.02033430151641369,0.89892054,0.3649984
4,0.41025305,0.25889206,0.015181792247746646,0.88881826,0.35999507,0.3871604,0.24022093,0.01653913501650095,0.9198642,0.43178195
5,0.48711705,0.3230208,0.012123923375614997,0.90710485,0.37194026,0.44939655,0.29011124,0.01416165241971612,0.90873516,0.46262354
6,0.5550119,0.3850272,0.009976892430946372,0.9229311,0.38273752,0.49343365,0.3276381,0.013486476615071297,0.8892346,0.45553076
7,0.60826224,0.4381209,0.008506341177782144,0.9335305,0.38818276,0.6317053,0.46169567,0.008544920943677425,0.879274,0.59842205
8,0.65587384,0.48890942,0.00736138196397655,0.94388306,0.3933187,0.6507375,0.4825343,0.0074064580257982016,0.89743274,0.58224416
9,0.69486034,0.53338826,0.006505761702459787,0.95069593,0.39725727,0.62399006,0.4548341,0.010475164745002985,0.9192297,0.50972265
10,0.7213229,0.56511664,0.005979721998496198,0.9525346,0.39773345,0.71003854,0.55080235,0.006825300166383386,0.90956265,0.58670706
11,0.7488133,0.59932756,0.005424338046238061,0.95865846,0.40053868,0.7282347,0.5734616,0.005772570380941033,0.9166253,0.5887791
12,0.7715729,0.62899685,0.004980837471624513,0.9631701,0.4029127,0.75880885,0.6113554,0.005057800095528364,0.9244868,0.60296464
13,0.78999126,0.65381074,0.004638265871974619,0.96642023,0.40398932,0.7721324,0.6288401,0.0053888726979494095,0.8905893,0.62145364
14,0.814683,0.6880214,0.004141547763426362,0.97387326,0.4078634,0.80379736,0.6719734,0.004757004324346781,0.9057659,0.6197004
15,0.81437546,0.687781,0.004191206508883119,0.96804935,0.4058347,0.7974876,0.6632103,0.005114533239975572,0.87510496,0.6644884
16,0.8344736,0.7165033,0.0037811295825647255,0.9756288,0.40915093,0.7967492,0.662799,0.00571744074113667,0.8621856,0.65014344
17,0.83483213,0.71706516,0.0038170841807493652,0.9716853,0.40794837,0.79771054,0.6643331,0.005065084435045719,0.90111643,0.6303793
18,0.8347154,0.71729004,0.0038427543673629078,0.9693228,0.40673432,0.80848634,0.67905045,0.004732094239443541,0.8851903,0.6654447
19,0.846996,0.73504794,0.0035832696366608612,0.97342575,0.40901017,0.8250798,0.7023629,0.0040384382009506226,0.93295157,0.6232069
20,0.85659254,0.7495634,0.0033816474420826424,0.97682106,0.410655,0.8183638,0.693097,0.005197840160690248,0.8925601,0.6243226
21,0.86329687,0.75973123,0.0032439788117452468,0.9783389,0.41177046,0.78715736,0.6502652,0.006333837402053177,0.8797197,0.6201785
22,0.86947507,0.76925975,0.003120672048806956,0.9797937,0.4125818,0.8425534,0.72795266,0.003999658394604921,0.9100358,0.6279885
23,0.8691733,0.7688642,0.003161182845222884,0.9788278,0.41233796,0.8376707,0.7207029,0.004103131126612425,0.8886204,0.64472425
24,0.8453743,0.733487,0.003689394023986269,0.9644853,0.4061056,0.7970841,0.6668565,0.006193522596731782,0.9010165,0.5934013
25,0.86666447,0.7651126,0.0032277313800681416,0.9754666,0.4106178,0.8209164,0.69651705,0.00431846862193197,0.9335682,0.5913293
26,0.8792093,0.784565,0.0029275643856673025,0.9813162,0.41375092,0.8152579,0.6893102,0.005816682241857052,0.8934897,0.607029
27,0.8816232,0.7884103,0.0028895888957180295,0.9816196,0.41411105,0.8529086,0.74354494,0.0035802240017801523,0.92469805,0.62240994
28,0.88258415,0.7899217,0.0028744810899831237,0.98130125,0.4143036,0.83823895,0.72163314,0.00459310645237565,0.9009359,0.62910426
29,0.8793106,0.7848191,0.002959502835931368,0.9796306,0.41338727,0.8135221,0.68670726,0.005988981109112501,0.8663897,0.63149506
30,0.8866992,0.79654574,0.0027897519567005973,0.982813,0.41481555,0.8647932,0.7617973,0.0033951631048694253,0.9114572,0.65301245
31,0.88649637,0.79623115,0.0027950272490696437,0.9824498,0.41485766,0.87321615,0.7751317,0.002997972653247416,0.92525685,0.65309215
32,0.8861076,0.7955988,0.0028091126778207083,0.98202527,0.41470772,0.87449914,0.7770766,0.0029156715609133244,0.92893344,0.6427319
33,0.868796,0.7701046,0.0032764767375201786,0.97058946,0.4097288,0.48883012,0.32389677,0.013341826386749744,0.76780003,0.51649666
34,0.858724,0.75359243,0.003387417214957862,0.9694014,0.40831205,0.8646592,0.7619205,0.0032796451123431325,0.9444112,0.6295824
35,0.89128435,0.8039547,0.0026974759842430707,0.98445517,0.41566807,0.8742546,0.7766051,0.0030920227291062474,0.9339014,0.64631814
36,0.8951629,0.81028736,0.0026110588556026294,0.9858104,0.4163728,0.8909023,0.80329156,0.0024611145490780473,0.9476657,0.6551642
37,0.8959897,0.8116491,0.0025948958041011254,0.98599815,0.41644952,0.89713883,0.813515,0.0022672442719340324,0.9521,0.6558017
38,0.89572316,0.8112169,0.0026036447387082907,0.98556197,0.41635138,0.89202046,0.80508757,0.0025087877875193954,0.9545833,0.63986295
39,0.89494437,0.80994296,0.0026235604917260375,0.98502237,0.41616166,0.89209366,0.80530983,0.0024120784364640713,0.9611192,0.63237166
40,0.89482075,0.8097368,0.0026271104781773846,0.98484653,0.4161706,0.88137674,0.787976,0.0027304849354550242,0.9485742,0.6335671
41,0.8941658,0.80867326,0.0026434737834961915,0.98459536,0.41603574,0.8630858,0.7594884,0.0038277609273791313,0.92407405,0.6362767
42,0.8930745,0.8069049,0.0026633543015989456,0.98424035,0.41573423,0.8795842,0.78513026,0.002870956319384277,0.9338539,0.6480714
43,0.89457446,0.8093526,0.002629601872931543,0.985056,0.4159651,0.83678675,0.72201383,0.005464884336106479,0.92600656,0.6103762
44,0.8969639,0.8132664,0.0025736751774478738,0.98612785,0.4166343,0.80873024,0.6835078,0.00858009175863117,0.91732335,0.58447564
45,0.8981044,0.81514627,0.002548137927950839,0.9866646,0.41683272,0.8657766,0.76368386,0.003979084664024413,0.9281368,0.6443258
46,0.89780396,0.81465846,0.0025564209379590696,0.9865455,0.41670114,0.88105565,0.7874038,0.0029494963819161057,0.924433,0.6561205
47,0.8959897,0.8116779,0.0026016979025124515,0.9853065,0.4162817,0.84197044,0.72717035,0.004877418978139758,0.885784,0.6365955
48,0.8944674,0.8091914,0.0026376697687250017,0.98473215,0.4159044,0.871406,0.77211773,0.0033325550612062216,0.9359139,0.63779086
49,0.86490935,0.7633078,0.003304633201387849,0.9677983,0.40831745,0.8105626,0.6831609,0.005924941971898079,0.8933442,0.61077464
50,0.8868953,0.7970587,0.0027953839375364246,0.98078877,0.41398817,0.86783266,0.76661396,0.0037122892681509256,0.9409747,0.63396555
51,0.90007514,0.8183841,0.0024984458561293334,0.9877184,0.41732514,0.89988685,0.8180909,0.0021603606874123216,0.9658027,0.6414568
52,0.9030808,0.8233736,0.0024320390178272588,0.9892005,0.41811058,0.90357935,0.824227,0.002079817233607173,0.9664157,0.6444055
53,0.9045361,0.8258024,0.0024007701201875595,0.98993725,0.41846767,0.9026251,0.8226473,0.0021799636306241155,0.96201926,0.64392734
54,0.90534043,0.8271511,0.0023835831129341753,0.9903395,0.4187221,0.9050962,0.8267292,0.0021215466549620032,0.960782,0.64623845
55,0.9055038,0.8274317,0.0023810826991141217,0.990407,0.41875505,0.9003552,0.81878966,0.0023676773998886347,0.9557178,0.6467166
56,0.90482706,0.8263079,0.0023969677996701247,0.98986244,0.41849872,0.90098006,0.81980824,0.002386201755143702,0.9542797,0.6503825
57,0.9029695,0.82321554,0.002441502662819196,0.9886578,0.4180953,0.90272564,0.82277006,0.0022566565312445164,0.9581516,0.64775264
58,0.900792,0.8196079,0.00249089457187214,0.9876529,0.41747344,0.9115797,0.83753717,0.0018464424647390842,0.965562,0.65245456
59,0.8990546,0.8167451,0.002529660140660706,0.98679256,0.41709352,0.8984991,0.81570655,0.0023273613187484443,0.95425296,0.64998406
60,0.89735746,0.8139497,0.0025697614948415087,0.98589605,0.4165345,0.85254055,0.74369156,0.004332852433435619,0.92942166,0.61603445
61,0.88366556,0.79204035,0.002893450167191682,0.97835016,0.41310692,0.8430331,0.72868633,0.0037156270118430257,0.92970204,0.6365955
62,0.89681447,0.813057,0.002588973815805552,0.9854655,0.41643706,0.8965827,0.8125866,0.002281988156028092,0.96287924,0.6449633
63,0.899682,0.8177647,0.0025152675304356198,0.98684585,0.41710928,0.84458387,0.73579717,0.0046556550078094006,0.9623288,0.58224416
64,0.90494835,0.82650006,0.002386831296886955,0.99009997,0.41856745,0.9152434,0.84374356,0.0017429282306693494,0.97098345,0.6507013
65,0.9063417,0.8288376,0.002355826736577678,0.99093074,0.41897207,0.9172877,0.84721804,0.0017452840111218393,0.9688868,0.6526936
66,0.90690374,0.8297853,0.002344875986840611,0.99117655,0.41914296,0.89757764,0.8144964,0.002655953459907323,0.95599955,0.64065987
67,0.9069305,0.8298381,0.0023445786305259595,0.9911521,0.41910788,0.89939815,0.817253,0.002688451553694904,0.9498532,0.64456487
68,0.9061312,0.82851094,0.0023630003713670683,0.99071926,0.41885957,0.895751,0.8112335,0.0027550309896469116,0.95466954,0.641138
69,0.9045892,0.82594264,0.0023992838498134435,0.9898598,0.41843376,0.8978948,0.8148047,0.0023304576752707362,0.96937644,0.6281479
70,0.9031711,0.8235757,0.0024332192675754053,0.98893327,0.41821086,0.8532026,0.7440984,0.004213601117953658,0.9376077,0.6071884
71,0.9026416,0.8226997,0.0024417747911624024,0.98874134,0.41800985,0.8679889,0.7667745,0.0038889970164746046,0.9375226,0.62065667
72,0.903425,0.8239986,0.002420092929574758,0.9892176,0.41824004,0.88515663,0.7941694,0.002944924170151353,0.9554348,0.630459
73,0.9046528,0.82604265,0.0023904334888161876,0.9898966,0.41849756,0.8659967,0.76519936,0.004488013801164925,0.9339769,0.62456167
74,0.90512836,0.8268406,0.0023811340555313634,0.9901285,0.41870233,0.8977077,0.8145591,0.0026133659994229674,0.95850724,0.64065987
75,0.90515774,0.82690305,0.002381742121402045,0.990111,0.4187774,0.90319705,0.8235004,0.0022782633313909173,0.9549286,0.65006375
76,0.90486026,0.8264107,0.002386706635173798,0.9901346,0.41851544,0.89672613,0.8127989,0.0025739079574123025,0.93465525,0.6611412
77,0.90529156,0.8271162,0.0023756551116334763,0.9903694,0.4185818,0.9023173,0.82209456,0.002484364260453731,0.96263343,0.6467166
78,0.9061038,0.82847273,0.0023565034173452515,0.9908142,0.418965,0.8993093,0.8170526,0.0023696866119280457,0.9612136,0.64384764
79,0.9067511,0.8295557,0.00234059534991918,0.9912964,0.419231,0.8985861,0.8160819,0.002419966971501708,0.9565114,0.6415365
80,0.9074648,0.8307519,0.0023242291470707546,0.99171925,0.41939953,0.8990145,0.81663626,0.0024235493037849665,0.94824964,0.64544153
81,0.90773726,0.8312134,0.0023162440258762814,0.9919528,0.41945744,0.89995253,0.818157,0.0024187176022678614,0.94711596,0.6451227
82,0.90772897,0.8312009,0.002316066601213761,0.99187714,0.41948757,0.9134692,0.84072286,0.0019620131351985037,0.9553034,0.6574753
83,0.90764755,0.8310633,0.002318671427458548,0.9919525,0.41938612,0.91162837,0.8376074,0.0020231256494298577,0.9639967,0.6550845
84,0.90755713,0.8309125,0.002321338642400334,0.99187577,0.41941458,0.86682355,0.7655841,0.005662882118485868,0.9555389,0.6097386
85,0.8871388,0.79825515,0.002812369264609383,0.9784662,0.41403478,0.7256259,0.57173645,0.009784223744645715,0.7980852,0.5912496
86,0.89007956,0.80249166,0.002761728107512044,0.9814835,0.4145173,0.9041687,0.82517487,0.0020145606249570847,0.95738506,0.65707684
87,0.9070449,0.8299941,0.002337226755065074,0.99146587,0.41925946,0.9117874,0.8379344,0.0017789783305488527,0.9673002,0.65301245
88,0.90979093,0.8346316,0.0022709195025423863,0.9933265,0.4201393,0.9150764,0.84349537,0.0017300972831435502,0.9678597,0.6551642
89,0.9109831,0.8366574,0.0022428788153648566,0.9943081,0.4205943,0.9153186,0.8438802,0.0017648873617872596,0.9642147,0.65707684
90,0.91169965,0.83787715,0.002225833226286157,0.99491966,0.42085558,0.91592836,0.84492415,0.0017726419609971344,0.9625625,0.6597864
91,0.91213304,0.8386159,0.0022154137913037784,0.99530685,0.42105988,0.9176245,0.8478173,0.0017431070446036756,0.965783,0.6590692
